case_id,group,model,n_outputs,correct_diagnosis_reference,mean_full_dialogue_char_len
25,deepseek_flash_1,flash,10,Primary sclerosing cholangitis,5204.7
25,deepseek_flash_2,flash,10,Primary sclerosing cholangitis,6667.3
25,deepseek_pro_1,pro,10,Primary sclerosing cholangitis,5232.6
25,deepseek_pro_2,pro,10,Primary sclerosing cholangitis,4477.5
25,gpt_5_4_mini_1,gpt_5_4_mini,10,Primary sclerosing cholangitis,2745.5
25,gpt_5_4_mini_2,gpt_5_4_mini,10,Primary sclerosing cholangitis,2760.2
25,gpt_5_5_1,gpt_5_5,10,Primary sclerosing cholangitis,9073.8
25,gpt_5_5_2,gpt_5_5,10,Primary sclerosing cholangitis,9775.8
26,Qwen_plus_turbo_1,qwen,10,Interstitial cystitis,7424.3
26,Qwen_plus_turbo_2,qwen,10,Interstitial cystitis,7689.7
26,deepseek_flash_1,flash,10,Interstitial cystitis,5832.2
26,deepseek_flash_2,flash,10,Interstitial cystitis,6602.3
26,deepseek_pro_1,pro,10,Interstitial cystitis,5452.0
26,deepseek_pro_2,pro,10,Interstitial cystitis,6067.9
26,gpt_5_4_mini_1,gpt_5_4_mini,10,Interstitial cystitis,2967.5
26,gpt_5_4_mini_2,gpt_5_4_mini,10,Interstitial cystitis,3410.8
26,gpt_5_5_1,gpt_5_5,10,Interstitial cystitis,3142.2
26,gpt_5_5_2,gpt_5_5,10,Interstitial cystitis,2852.8
28,Qwen_plus_turbo_1,qwen,10,Lung cancer,8399.2
28,Qwen_plus_turbo_2,qwen,10,Lung cancer,7764.3
28,deepseek_flash_1,flash,10,Lung cancer,6910.8
28,deepseek_flash_2,flash,10,Lung cancer,6463.4
28,deepseek_pro_1,pro,10,Lung cancer,4501.4
28,deepseek_pro_2,pro,10,Lung cancer,4334.9
28,gpt_5_4_mini_1,gpt_5_4_mini,10,Lung cancer,4483.2
28,gpt_5_4_mini_2,gpt_5_4_mini,10,Lung cancer,4788.3
28,gpt_5_5_1,gpt_5_5,10,Lung cancer,7021.4
28,gpt_5_5_2,gpt_5_5,10,Lung cancer,7632.2
